GeoID,Years,GeoType,TotalPop,PctRural,PctMinority,PctHispanic,PctBlackNH,Pct_forborn,PctDisabled,PctEducLHS,PctEducBchPlus,Pct100Pov,PctNoHealthIns
29201,10yrs,County,39191,41.55,15.14,1.80,11.32,1.11,17.23,17.25,15.15,19.61,12.05
29203,05yrs,County,8441,100.00,5.06,1.65,0.19,0.16,25.22,20.00,14.90,27.45,18.80
29203,10yrs,County,8441,100.00,5.06,1.65,0.19,0.16,22.07,19.05,14.55,25.26,17.90
29205,05yrs,County,6373,100.00,2.68,1.11,0.50,0.86,12.82,9.30,18.10,16.19,11.10
29205,10yrs,County,6373,100.00,2.68,1.11,0.50,0.95,13.72,9.85,15.85,16.30,12.70
29207,05yrs,County,29968,69.79,3.46,1.19,0.91,0.37,21.23,19.10,13.30,18.24,11.20
29207,10yrs,County,29968,69.79,3.46,1.19,0.91,0.39,20.60,19.70,13.50,16.56,13.75
29209,05yrs,County,32202,88.69,3.93,1.72,0.14,1.94,14.81,12.80,18.60,12.92,9.20
29209,10yrs,County,32202,88.69,3.93,1.72,0.14,1.46,15.75,13.65,16.95,14.63,13.00
29211,05yrs,County,6714,100.00,20.32,18.59,0.45,8.84,10.02,15.70,11.70,16.93,12.10
29211,10yrs,County,6714,100.00,20.32,18.59,0.45,8.73,13.09,16.60,11.75,16.57,13.10
29213,05yrs,County,51675,43.86,8.89,4.83,0.78,4.07,14.82,11.10,19.90,14.69,15.80
29213,10yrs,County,51675,43.86,8.89,4.83,0.78,3.81,15.32,12.80,18.90,17.44,19.30
29215,05yrs,County,26008,99.21,7.68,1.63,3.35,1.37,24.90,16.30,13.50,25.32,16.10
29215,10yrs,County,26008,99.21,7.68,1.63,3.35,1.03,22.96,17.25,13.05,23.41,15.75
29217,05yrs,County,21159,58.26,4.55,1.59,0.47,1.12,16.51,11.60,18.90,14.77,14.50
29217,10yrs,County,21159,58.26,4.55,1.59,0.47,1.39,17.33,12.70,16.80,17.11,15.95
29219,05yrs,County,32513,63.04,7.11,2.94,1.84,1.52,12.19,11.30,19.10,13.41,7.20
29219,10yrs,County,32513,63.04,7.11,2.94,1.84,1.84,13.14,13.35,18.00,13.73,9.15
29221,05yrs,County,25195,80.48,4.87,1.01,2.20,0.29,25.63,23.10,9.90,20.13,12.40
29221,10yrs,County,25195,80.48,4.87,1.01,2.20,0.39,26.60,25.10,8.85,21.95,14.90
29223,05yrs,County,13521,100.00,3.46,1.04,0.24,0.60,27.16,23.80,9.60,24.14,14.00
29223,10yrs,County,13521,100.00,3.46,1.04,0.24,0.54,26.07,24.05,9.90,23.11,15.20
29225,05yrs,County,36202,73.93,4.79,1.69,0.88,0.95,15.02,13.90,16.80,17.85,13.80
29225,10yrs,County,36202,73.93,4.79,1.69,0.88,0.96,14.12,14.00,16.40,17.16,17.60
29227,05yrs,County,2171,100.00,2.58,1.06,0.51,1.18,12.15,10.10,20.00,13.74,6.00
29227,10yrs,County,2171,100.00,2.58,1.06,0.51,0.71,11.63,10.45,18.20,13.74,10.70
29229,05yrs,County,18815,76.63,3.68,1.26,0.46,0.61,20.68,19.60,10.20,24.24,19.10
29229,10yrs,County,18815,76.63,3.68,1.26,0.46,0.84,19.84,20.85,11.20,23.54,18.55
29510,05yrs,County,319294,0.00,57.81,3.49,48.98,7.20,13.43,12.20,36.30,21.83,10.80
29510,10yrs,County,319294,0.00,57.81,3.49,48.98,6.97,13.59,14.50,33.35,24.79,14.30
US,05yrs,Nationwide,308745538,19.27,36.25,16.35,12.21,13.55,10.25,12.00,32.10,13.42,8.80
US,10yrs,Nationwide,308745538,19.27,36.25,16.35,12.21,13.31,10.22,12.80,30.70,14.51,11.50
29,05yrs,State,5988927,29.56,19.00,3.55,11.47,4.19,12.46,10.00,29.20,13.68,9.30
29,10yrs,State,5988927,29.56,19.00,3.55,11.47,4.05,12.42,11.00,27.95,14.64,11.10
A9001zg,05yrs,Zone,57779,3.68,14.51,4.82,5.44,3.02,9.07,5.28,32.49,6.63,5.35
A9001zg,10yrs,Zone,57779,3.68,14.51,4.82,5.44,2.63,9.00,5.52,30.76,7.68,7.93
A9002zg,05yrs,Zone,60488,40.03,14.06,9.04,0.75,5.68,11.19,15.32,22.27,15.99,14.47
A9002zg,10yrs,Zone,60488,40.03,14.06,9.04,0.75,5.64,11.59,15.81,21.63,16.94,15.57
A9003zg,05yrs,Zone,54380,28.56,9.14,3.78,2.02,2.86,7.98,3.59,40.90,2.92,3.02
A9003zg,10yrs,Zone,54380,28.56,9.14,3.78,2.02,2.52,6.93,3.84,38.59,3.39,4.17
A9005zg,05yrs,Zone,58185,1.24,52.54,7.33,39.96,5.75,11.58,9.36,28.02,18.84,13.53
A9005zg,10yrs,Zone,58185,1.24,52.54,7.33,39.96,6.73,10.99,10.63,26.12,19.14,16.71
A9006zg,05yrs,Zone,53260,0.00,64.50,33.89,22.37,21.01,13.49,26.47,25.33,30.44,22.19
A9006zg,10yrs,Zone,53260,0.00,64.50,33.89,22.37,21.58,13.76,28.25,22.92,33.82,25.20
A9007zg,05yrs,Zone,55067,0.00,16.76,4.17,6.11,4.33,15.23,11.85,22.51,32.72,16.89
A9007zg,10yrs,Zone,55067,0.00,16.76,4.17,6.11,4.60,14.29,12.91,23.47,35.78,18.76
